user_id,actual,own_rec_baseline
442,"[ 1085604  1103162  7025250  7025326 15567566 17903021 18024023   879755
  1091365  1005186 10455568   882305   900185  6034249 17901020 18057119
   850795   900112   969892  1095275   955527   988009  5978656 10355622
 15800828 15801041 15925366  1051882   974108  7167853   878234   891961
   909894   910439  1008851  1124729  8180884  7167218  1063207   925514
  1042345  1126899   911311   833025   925085   928092   934503  1093704
 14077316  1022872  6534178]","[913270, 9526624, 7167853, 1091365, 12384177]"
443,"[  866211   893168   914190   944823   963971   992933  1016286  1057260
  1058405  1105769  1109598  1126890  8011397  9396705 15972152 15972333
   862349   923746  1028816  1029372  7463287 17290722   912301  1096817
 15926928 17290708   927737  1071939  1100666 15972115]","[8011397, 1044507, 9396705, 6534078, 9526906]"
446,[ 937909 6961601],"[888586, 1132198, 13986925, 979057, 1136719]"
447,"[ 1043377  1057260  1138125   947326   995242 12582414   879445   986912
  1022097  1048507  6534178]","[1057260, 909522, 910151, 919999, 1112627]"
449,"[  827656   859075   913210   914190   921744   944167   957063   971922
  1029743  1073957  7025114   852864   879808   927851   934948   938700
   945294   964521   970866  1024731  1040183  1047393  1067271   895327
   946757   952408  1087102  1109615 12171999  6534178   819927   844441
   883003   888835   897044   916381   932761   953180  1038217  1053690
  1132771  1138443  8119152 10285022 12384779 13007355 15452852]","[9934800, 964327, 965555, 1027849, 9527223]"
450,"[  878996   907892   912146   915874   927191   979707   987557   995242
  1005186  1009969  1013321  1030819  1038217  1044078  1082185  1083328
  1095700  1101010  8015407 13842090 13842214   836281   860776   905539
   923746   976621  1024051  1055337  1133018  7441701  9833277 12810391
 13039933]","[8015407, 912146, 9189814, 13842214, 13842090]"
451,"[ 1037000  1135645   916260   916122   999971  1083846  1104035 13133650
   963868   976998  1004906  1126528  1031447  1077281]","[1014388, 1070803, 1109014, 12757544, 1052920]"
454,"[  833025   892844   937301   995242  1023958  1026676  1044078  1051379
  1055646  1082185  5591609  6034953  6463742   948186  1099089  5565719
   873178   957063   854852   859618   909761   935851   958700   961269
   980433   999714  1096036  6464208  1053690  9521787   844165   912112
   913278   935993  1033707  1083787  1116125  1117473  5573812  5585510
  5591814 13910669   858373   905913  1110473   824555   846830   899624
   933248   996087  9835223 12524732 12525247   824005   905868   916122
   926692  1013770  1079292  1135886  5569230  7160185   859075  1026118
  1102927  1118787 13504412   918733   890610   913814   948622  1016800
  1044805  1096261  6553237  9245462   823194   840255  1102845  7166863
  9296945   845208   848029   900802  1073718  1084551  9245106  1112593
   881047   981760  5591341 13841744 15927780 15928064   923997   962568
 17248344]","[998621, 1076666, 881047, 9245413, 9392700]"
457,"[  838369   844165   883418   905636   911311   942525   994149  1004097
  1029743  1074271  1082185  1095040  1107693  1122568 13213410   952781
  1047523  1094746]","[5590965, 1077409, 1071171, 1032549, 7410335]"
458,"[  849843  1023958  1058997   828857   879635   890612   893739   919158
   924978   961554  1088858  1099058  1123556  1125477  1139493  5587938
  9837092 13876342 17249717   951203  1010164  1089568 17106203]","[12782182, 910439, 949836, 852600, 999563]"
459,"[ 863762  883400  885290  890620  933809  972312  977873 1039682 1075313
 8156610]","[12262832, 972312, 13007846, 1039682, 863762]"
460,[826385 981760],"[935342, 1121624, 873887, 926804, 993466]"
461,"[15716967   831815   853904   857571   866950   909714   910071   979566
   979746  1003421  1022843  1034499  1049822  1050851  1052700  1077555
  1104882  6039972   886703   918368   924273   969703   985999   995242]","[980657, 1019744, 918684, 1074612, 867667]"
462,"[  824180   887744   915874  1008845  1043751  1055646  1081177  1135578
  1137775 13213034 13841744   854042   889618   995242]","[1011926, 955921, 1106073, 936830, 825170]"
463,"[  848154  1033220 13038913  1046689  1082185 12810393   835243   933067
   988235  1036093  1045109  1055504   935755  1000605  1118757   852065
   994928  6534166   948670   834484   838797  1133018  1092948  1128665
  9245336 13189897]","[838797, 1046689, 929484, 5568758, 6534166]"
464,"[15926882 18004970 18005961  6961736 13417854   887393   890610   937571
   991565   994928   995242  1007191  1058021  1072693  1082185  1126895
  5564233  9677236 16769626  6534178   832311   833025   856772   868727
   869500   912553   915621   923746   952972   961554   981521  1022072
  1077555  1118332  1121360  9296856 12352225 12599601 13008459 13115517
 13876665 12386123   838010   886033   899823   907014   920844   928585
   942565   965766  1013321  1017294  1041157  1042907  6553737   856252
   993638]","[841266, 1041157, 9297602, 938217, 865511]"
466,[  832001   859191 10341697],"[874563, 835476, 1112473, 1094744, 907466]"
467,"[ 1021562  7167945 15595872   834117   890283   916122   991999  1110692
  1135886]","[6979089, 9296804, 9655715, 1033913, 1021416]"
468,"[  819423   830887   879948   915616   916133   971949  1040530  1051069
  1055863  1082185  5565352  9527262  9836415  9836811   893321   928049
  1038722  1048440  1059665  1066713  1134292 13986405   837751   985119
   987073  1026346  1098284  1106523  1122358  5583751 13007697 16770156
 18003264   821032   823098   908636   921197  1068124 10121545 15927826
   908531  1023466  1032967  1049788  9419443 10204333 12330382 16769916
   845208   878996   918335   934676  9677163 12757702 17291554   927400
  1037398  1042628  1123436  6442520  8014494   900964  9803810 10312139
 10356370 16769936   838733   853178   870310   973854  5590465   850841
   972244  1017451  1018597  1058554  1108092  1135768  5995503  5995609
  5995692  6772859   834484   967283  1037451  1076154  1081853 12649469
 14077333   825753   846334   849297   872021   905340   929363   971195
  1048893  1054945  1068561  1086140  1115187  1117956  1120928  9928293
 12301100 13417846 15592590 16733215 17329343   839231   957243   993638
  7024878  7025496  9396767 13776508]","[1118946, 1098284, 1026346, 8119303, 1131506]"
469,"[  819978   824256   901062   901666   914476  1012266  1016286  1050229
  1082185  1124324  1137775  9194383  9270367  9297251  9419441  9705473
 10150194 10457244 12987933 14077304 17291305   834303   891405   903350
   907625   932006   967395   968215  1005849  1022757  1042356  1135476
 10204333 10284898  6534178   834484   843756   892503 15863838   847219
   850459   862349   877391   883932   885356   979707   990866  1051326
  1055646  1068078  1128395  5583623 13039959 15863907 17291636   952122]","[932006, 1033913, 1559515, 1005849, 1098435]"
470,"[  826249   907449   933060  1119784   986596  1030093 15926886  5978656
  6534178   835098  1065593   995722  1034837  1113588  9526254 12352232
   990256  1018277  1058709  9420312   840601   908314  1012523  5565352]","[1119784, 840601, 949377, 966891, 886803]"
471,"[  852360   883202  1001391  1013187  1069535  1107538  8090521  9859112
 13944905  6534178   826860   830615   852864   858649   869047   884333
   911088   911502   914190   965766   970619   980120   980727   982799
   995242  1008214  1043805  1072405  1075793  1133654  6602381  7441192
  8249550  8293382  9523058  9526628 10457531 12384775 12648296 13877311
 15511718 15597009 15801143 16809685]","[1119405, 1075007, 1071446, 983795, 1029125]"
474,[ 935951 1030093 1065593 1084591 1129819 7147145],"[1088683, 900770, 833351, 1033913, 1116578]"
477,"[ 1029743   835788   869573   869872   879755   886125   896369   948670
  1001728  1007191  1043095  7167837 13115579 13945244]","[900842, 8011285, 886125, 1069296, 941307]"
478,[1110843 8090440],"[8203851, 835558, 963339, 1101980, 969945]"
479,[  866227  1060269  9704801 13986236 17214936  6773108 10149868],"[1037840, 942088, 1063207, 1085604, 1099945]"
480,[ 1009449  1139830  5582540  9245312 12582156 17249340],"[1033690, 1028950, 1047769, 871433, 825618]"
482,"[  826249   835715   857849   865456   870547   871756   907014   909349
   910673   921504   923235   971325   994928  1004906  1044078  1068719
  1071995  1095100  1111498  1133018  1133072  9837100 13007022   836445
   841220   847982   869573   877358   883003   887984   895166   902172
   933067   940023   951590   954997   959172   970605   984663   999270
   999581  1016276  1025581  1035207  1062966  1085161  1098066  1101010
  1135253  1138443  5568378  8090537  9527159 10249363 15926863]","[1119784, 1088771, 910673, 1077600, 1054383]"
483,[ 879755 1055863 1077588 1080414 1118393 7409911 7410198],"[14050460, 14043826, 861973, 14043825, 1036419]"
484,"[  819330   827806   833940   836548   888532   937301   984575   995242
  1013321  1044480  1044759  1048352  6514287  6633273  7099176   951071
   970760  7166890  9655696 10204392]","[823099, 1027874, 1118946, 1006483, 1003699]"
485,"[  910151  1109370   851287   852035   859121   868764   879152   885697
   893501   896457   896672   907418   908531   912112   915874   923746
   925626   932298   938700   982790   999971  1045220  1056611  1067779
  1076875  1090838  1092026  1122536  5569349 10344971 12810391 13511264
   898510   899624   925862   951590   992922  1012587  1022003  1033769
  1042628  1044895  1082185  1110797  5567365  6533608  7166791  9677791
 13115980  6534178]","[910151, 1030362, 845193, 1121636, 996156]"
487,[  906763   921863  7169034 10285365],"[897611, 984575, 912112, 6424447, 946489]"
489,"[ 1082185   842416   858743   957891   981760  1019247  5578494  5584100
  5584847  5585966  5586642  5587043  5588238   986912   993638  1131321
   819518   838258   845715   850834   860776   862010   867008   874617
   878290   893042   894186   894360   899446   903325   948298   973861
   987374  1003441  1007752  1022254  1026209  1031287  1041487  1052926
  1058997  1077430  1117304  1123194  1136715  5584007  5585727  5588666
  6391070  6513719  6602622  7124838  7143886  8353112  8354560 10285399
 12525019 12554515 13115501 14077803 15596347 15596461 15863815 17966931
  6534178 15483579   825425  1088448  1045288 14025321  1053460   909894
  6034239  9879410   882136   975324  5585636   894236  1104224   897811]","[1019247, 1128828, 858743, 5586076, 957891]"
491,"[  839358   842789   885023  1003818  1066731  1087713  1111632  5572000
  6704329  7409996  9836302  9858847 13776705 15596726 15972152 17901146
  6534178   859191   879445   929575  1051468 10285106   987480  1080414
   828867   994223  1025589  1029893  1034462  1041796  1100972 12170996
 15452032 15596705 15801143]","[6533936, 1046839, 981222, 867469, 1107760]"
493,"[  834103   860106   819112   819927   822407   835788   840227   866292
   902192   903233   918733   931433   933569   938139   945779   987311
   995242  1004906  1009200  1013321  1024731  1044805  1070276  1070723
  1083856  1101173  1128647  5565866  8090539 10121965 10311774 13213186
  1119993   840361   856888   859075   873627   887691   891752   898068
   911812   918994   929668   936355   936634   947267   948086   949151
   995916  1003188  1012873  1017363  1030981  1036347  1050079  1059527
  1068719  1077490  1105623  1120362  1136257  1139835  5565356  8090513
  8249371  9859183 12524365 12577242 15972392  6534178]","[947267, 1093697, 8090539, 933569, 961620]"
495,"[  833241   883404   890955   940731  1102139 15629918   849843   874972
   899201   923746   927737   930283   951190   957951   995242   995965
  1002558  1006250  1092424  1116821  1133018 12810391]","[1024032, 842533, 955867, 919406, 1003836]"
497,[  837304   911088   942778  1042083  1079223  6424447  7410290 14019790],"[9707137, 982989, 1012913, 5567148, 925425]"
502,"[  828055   845208   850529   860439   866211   866871   901976   910473
   926025   926707   929373  1008547  1028885  1029743  1131344  5592261
 13007434 16809649   832678   859075   906584   920308   937566   951190
   987480  1088835  9419585   835578   875089   899655   908531 12427353
 15830760]","[883428, 1135868, 1038462, 831587, 898980]"
503,"[  997200  1073150  5978656   842698   855138   987562  1018859  1026945
  1051379  1074036  9881666 13007507   819063   866211   896369  1003188
  1060408  1135476  8090536 10121965   845370  1124505 10182829]","[971983, 1073150, 842698, 1078329, 1072693]"
505,[ 7409663 13213480   962991  1127716],"[6395907, 983267, 962991, 7441498, 871162]"
506,"[ 849202  855138  880377  886787  892531  927004  956067  975180 1013641
 1026118 1043837 1081853 1104414 1109371]","[6391349, 5568732, 1018818, 5567486, 1076597]"
507,"[  857554   866211   885290   929472   948748   968932   972244  1002591
  1016863  1036501  1043730  1058554  1112560  1118606  1135768  5995692
  6632589  6633273  6773204  6773215  6773219  6773226 13190283 15572722
 15596933 15716445 15716719   866227  1126899 15716444]","[1008012, 857554, 891542, 876548, 1044259]"
508,"[  822259   830887   857849   942693   976480   976998  1004906  1006664
  1029504  1037863  1042907  1104649  8090537 13512017]","[879504, 919535, 920191, 835864, 5565802]"
510,"[  820165   833724   836891   843418   847270   852065   856166   858373
   905636   906763   919012   924423   924889   928036   953134   955552
   959821   964977   965701  1003818  1019028  1025773  1028296  1036501
  1046500  1069522  1079292  1082185  1105769  1105811  1110126  1135006
  7145149  9368132  9856740 10182803 10182856 12384689 12524323 12757280
 13008412 13115749 13213063 13876764 16809200 17974317  6704192   844165
   826144   862349   878996   879988   890882   918410   927400   953677
   995645  1017472  1051046  1109371  8069118  9553031  9837404 13073103
 14050446 16223193 17249864   819765   878222   888835   937444   943169
   944836   945800   948086   998620  1018505  1040693  1048563  1088147
  1095275  1096317  1131115  6919121  7440663  7440665  8293343  9526672
  9526886  9527158 10182723 12695426 13115611 13511475 13986236 15778289
 15926884 16220948 17214936 17900896 18056450 18056453  1054683  1107553
   853904   965565   999858  1000205  1004475  1043520  1050530  8090536
  8091550 10284966 16208579]","[1036501, 850676, 5995281, 1073150, 1131115]"
511,"[  844165   852998   883404   908531   995242  1107289  6904467   925258
  1053690  6533765  6534178   973374  1100658  8205218  1109553  6554104
  6919087   842416   870547   933303  1056746  1105623  1115360  7433029
   878215   988824 15925181   994928  1046689  1098066  9881834]","[1071171, 1116635, 842416, 1006664, 925258]"
513,"[  833870   865026   911017   983959  1018740  1034176  1081177  1117690
  1129296  1132771  5568729  9677236 12263788 18006037   821083   837107
   841016   843911   891961   893868   921504   938138   952254   955399
   962568   962609   971807  1084551  1089888  1093413  6534573  8090532
   846463   885863   886686   892531   900586   990897  1094924  8090541
   854496   873902   977658  1012941  1123090  5569471   848029   867648
   872679   899690   907647   912322   949635   951094   964356  1010220
  1011771  1031087  1065871  1069783  1099669  6534414  7166791 13381658]","[865026, 1117690, 983959, 843911, 1052920]"
514,"[  820165   903325   923169   964520  1062002  1082185  1110843  1130877
  1135476  5584100  5584645  5585636  5586642  5588238   835476   857503
   866211   908318   935126   950133   981521   995198   998444  1007148
  1048046  1074594  1126786  5584027  5584808  5587043  7410341  9487606
 12781886 12781991 15737472]","[923169, 7466806, 1126786, 8011285, 5587043]"
515,[ 858478  898601  989354  995242 1066893 1123792 5591538],"[8359154, 1015826, 894360, 5580166, 1038462]"
516,[1125420],"[1053329, 968759, 1033913, 1106505, 836645]"
517,"[  823721   829456   854405   859075   912301   923789   926900   970714
  1000792  1010590  1011736  1033439  1035222  1058404  1081582  1089306
  1121865  1136353  9522453  9524511 12385624 12524323   840361   846081
   923590  1028816  1043301  1050645  1057855  1081177  1106872  1109014
  1126899  1135573  1137775 10457112 13411933   874354   911157   961979
  1005176  1007442  1041259  6463451 15973164]","[943141, 931579, 968759, 1046839, 1033913]"
518,"[  905817   985427 14077526  1075214  1082185  1110218  1122358 12302114
   862145   912287  1080414 10457131 17926970   837904   859592   923967
   946375   955518   963228   995876  1027311  1056509  1059969  1074283
  1079136  8019720  9487885   834117   835530   939578   961730   987006
   995242  1040693  1055646  1062860  1078407  5583751  6391557  6443350
 13841744   865026   979707  1072523  9420044]","[900770, 1031316, 915064, 6391557, 901460]"
520,"[  835098   883404   913210   923746   962782   992622   995242  1094280
  6979427  7082640   823758   903258  1034686  1039505  5580166   842350
   895388   903350   911609  1077709  1111722  6034249  9884281 12301772
 15596735   895540   916122  1021562   834484   840361   931870  5591083
  7167218  8090537  8090545   878996  1139382  1107373]","[911915, 7167218, 820486, 1075315, 895540]"
521,"[  899624   907038   923746   991959  1000059  1017059  1024306  1026332
  1056746  1068292  1135476  5568228  6034964  6396566  9797050 15741839
 15927013   903325   917732  1009449  1055646  1125278   893651   962568
  1026118  1033220  1051741  8203601 12517450 13671473]","[1056212, 8011285, 1048237, 1084036, 7466806]"
523,"[ 1004867  1029743  1056651  1082185  1110572  6704319 10204830  5978656
  9296856  9526893 10344971  6534178   843206   874972 12810422  1057260
 15926886   833715   853904   862349   873011   837644   888104   894236
   970861  1005138  5995967  9803601 10121958 13417371 15687125   837904
   844179   893501   896369   921293   946375   951590   955518   987947
   992529   994262  1079136  1111072  1120741  1123792  1124344  7410015
  7410290 15452820 15574281 15596317   908514   962970  1087895  1121281
   995242 16729299   866227   919158   948254   981521  1123035   884686
  1039156]","[970861, 898121, 869195, 1056651, 904815]"
524,[6553571  866211  923746 1009046 1067606 1120532 1130517 1133018],"[5569792, 853553, 958252, 1118623, 884089]"
525,"[  837270   845975   933835   952408   985613  1017472  1055646  1101010
  1116624  1124971  1138443 13189899 15926962  1048260  6552637 17902935]","[1117690, 842698, 1026258, 1033913, 1124971]"
526,"[  874650   957063   965217  1000237  1021116  1043830  1045220  1064380
  1093697  1096905  1101173 12523757 15830562 15831596 17291480   834952
   862070   893018   995242  1048237  6534178   907418   913210   919644
   962950  1123035  5569230  6904459  8090521  8293805  9575532   889836
   905542   924834  1013328  1100049  9368272   821930   823704   866292
   871312   905217   941676   945611   957951  1038217  1039156  1047944
  1050851  1051323  1084968  1088026  1097792  1115187  1119993 13654811
   866227   882604  1097001  1101477]","[7169088, 1060292, 5995281, 8090556, 13511722]"
527,"[  822226   842140   901062   910109   951412   985386  1059308  1067425
  1084025  1131321  6514259  9297251  9803718 12673243   933835   972437
   987562  1029915  1043416  1065089  1118787  5567582  9297463 10456174
 12987976 15717071 17974316   865456   877383   880427   950894   979707
  1047944  1058997  5568729  6034577]","[5567582, 6514259, 1131321, 1046584, 12987976]"
531,"[ 819978  976214 1072297 1075368 1086763  849274  870826  890389  981760
  995454 5569230]","[880888, 849274, 870826, 9677447, 898466]"
533,"[  822785   844165   855279   858563   880150   898980   899624   937571
   938700   941943   948787   982790   994928   995242  1004341  1015805
  1035207  1038217  1049788  1062966  1096036  1110793  1134296  5592455
  5592931  6553737  9420312  9885047 12695224 12781238 16766358 16809471
 16809685   827683   833841   901302   965766  1013259  1043663  1124342
  1133018  8020245 12778045 16733731   869220  1029743]","[1002459, 969419, 1036419, 1114653, 819112]"
534,"[6533765 6534178 1116828  993466 8119303  835595  915621  933060 1129205
  997441 1050699 1034499 9245106  874058 1110764 1136090  935968  847789
  986760  890862 1102759]","[1115360, 1064892, 926422, 841228, 1128900]"
537,[ 1232641  1240227  1293080  9297917  9886877 13988896],"[1116635, 1065538, 1098435, 843842, 918098]"
538,"[  821025   824931   828857   834158   836286   842522   848168   861272
   864752   870780   885290   886814   891961   906838   907749   912174
   916122   925091   935741   938535   950271   956902   986187  1000777
  1003632  1013167  1040693  1048257  1048918  1051093  1057453  1070820
  1076374  1082185  1089438  1096355  1101422  1108152  1109948  1117336
  1121213  1124674  1129671  5568956  6424231  6554544  7025196  7138232
  7443436  8160430  9297511  9487278  9553164 12130733 12352204 12582451
 13157989 13189799 13876348 15926649 15972790   824005   871754  1110031
  1117403   925111   981370  9297518 10148814 15596142   845622   856435
   924743   955075   960170   988621   992029   999318  1000050  1038325
  1092588  1098844  1136524  5568447  5570408  6633342  7168995 10201698
 12132034 12582371 15596735]","[846907, 1082212, 1017127, 833556, 880253]"
539,"[ 6534178   886570   922753   933904   960142   971053   976955   981760
  1013321  1013503  1023958  1051989  1062782  1075214  1082185  1101010
  5978648 14077333   833025   914190   993638  1077555 12578357 14111400
 17959573   831509   874972   923746   929726  1027168  1053733  1058997
  1108094  6391557 14077330 16829152  1010220]","[1107760, 878715, 14077333, 15596933, 9297403]"
540,"[  887220   941472   995785   995965  1002850  1028432  1087713  1096261
  1097280  1110039  1129734  1137688  6034857 10356271 12731436 14025389
 15596694 15625746 15830451   820165   824005   865174   951412  1011736
  1046262  1082185  5978656  9420077  9420282  9836912 13876669  6534178
   830676   841016   847270   848988   854852   861792   867020   893118
   896093   908493   954209   959076   959482   961554   970202  1000237
  1033760  1051516  1072437  9526673  9652066  9932293 13513126  1138189
   924549   989830]","[1047769, 841016, 6391381, 971983, 989830]"
542,"[ 849843 1036431 7167218 9526563  942525 1013597 1016931 1066783 1068830
 1069582 1086233 1106523 1121175 1139493]","[824796, 1082990, 1089108, 919999, 851468]"
543,"[  820486   822517   829459   862651   879734   886481   907281   915616
   918733   923149   958594   966891  1004585  1025628  1025719  1050543
  1075536  1098152  1116460  1119374  7432219  7443013  9297614 13945206
   857176   865658   911915   933645   938141   949377   990256  1016260
  1018278  1026712  1070716  6979545 12524016 13189824 15716097 17106408
   860890   883916   886803   966494   995242  1012523  1037751  1075315
  1080706  1137344  5565352  8090537  9417164  9527223 10456643 16809593]","[820486, 829459, 879734, 949377, 899580]"
544,"[ 7440663   866227   898247  7167218   856772   841228   883783   976038
  1035946  1095242  1101822  1134174  6919239  7410290  7410343 15560135
   878996   947201   965165   972999  1013149  1050699  1076157  1121369
  9445916 12518330  5569319 12456960]","[1029112, 1068957, 7166839, 1035946, 1076065]"
545,"[  822848   827671   836281   852235   855310   861272   872827   873044
   879528   890595   891516   894524   895540   905913   912914   942151
  1005186  1009631  1022654  1022981  1039669  1041688  1046839  1048442
  1062283  1070076  1080706  1084567  1096486  1108963  1111306  1124324
  1135788  5587689  5995626  6464243  7443219  9527120  9858846 10456622
 10456643 15716315 15717263]","[980488, 847966, 907281, 6391203, 828427]"
547,"[  823721   824915   825753   834842   854539   856382   856772   868588
   869047   874877   884518   896444   896913   898212   899617   903513
   907061   916122   924903   933527   937845   948232   948665   951221
   953180   957741   957839   961458   962615   969703   970371   978306
   985524   995242  1013641  1023444  1024051  1029624  1048893  1058942
  1069506  1081421  1082185  1084597  1085154  1091922  1093730  1095100
  1106064  1106523  1113285  1120085  1129031  1135476  5570408  5585510
  5978656  5995596  6463792  8090536  8357613  9296927  9677378  9859133
 15595982 15778464 16807289]","[877193, 842416, 955043, 5569074, 1085447]"
548,"[  824073   838637   851865   857503   885406   887342   887984   898349
   904521   939578   956200   981760   987724   990984  1001333  1002178
  1007195  1007316  1008787  1012913  1014206  1041766  1068832  1082185
  1095488  1130763  1135886  1139023  6602335  7144377  7167836 10456404
 13671765]","[1001333, 824073, 1098435, 7166839, 869868]"
550,"[  819978   844165   847789   883404   885307  1018740  1092026  1101010
  9487606 13189726   962588   971159  1035698  1055646  1096226  1121360
  9419530 12673433 12812474 13115501 13210025 13671962 16729299   965141
 12781975   835098   849843   851508   852690   855544   856252   857276
   878222   905986   952972   985622   995242  1013321  1031884  1082185
  1088294  1119761  1126895  7167793  9420312 12301100 12810422 18022252]","[1108488, 1068957, 917438, 959987, 878222]"
552,"[  838396   853178   855374   857638   858424   868147   871636   889188
   907892   915715   927191   931255   937276   948384   948876   971027
   972894   998536   998621  1004457  1014948  1021152  1038217  1045966
  1053733  1056762  1069039  1077703  1105034  1123407  1137273  5592931
  6772684  6772702  9831711 12781680 12987831 13777104 15452805 15926775
 16769936 16770135]","[1069039, 1132956, 1096573, 1088683, 863885]"
553,"[  849297  5568675  5570558   839191   878996   906093   951590   972858
  1014860  1027569  1029743  1030362  1040807  1111786  1123792  1131321
  6463583  9881593 13672073 15686793   822407   845052   853643   858373
   893868   896938   901397   930917   946308   953476   973868   997202
  1003080  1017369  1036501  1038217  1038894  1039126  1048299  1062404
  1071939  1074405  1081065  1136524  5569327  7025046  9419585 12301073
 15863819   820352   828857   842416   850044   894357   919216   986947
   991864   998444  1037332  1045150  1077143  1087102  1091252  1102949
  1103556  1106422  1117336  1132771  5565925  6533936  7443017 13040127
   859075   894511   911088  1055646  1133072 15926927   820321   874736
   921744   940766  1051688  1053690   890295   986912   993638  1072143
  1084331  1138189 13511722   910473   924132   946484   988693  1009361
  6602196  8249433 13095254 13213633]","[1030362, 842416, 1036501, 1037332, 1014860]"
554,"[  861272   867785   913623   924014   939578  1029743  1072086  1082185
  1082611  1093490  1096317  6979427  7441210  8090537  9394788  9677874
 12159042 12188392 15452355 17171649]","[1026931, 875979, 833860, 942158, 1097544]"
556,[6544236],"[6544236, 995598, 1004596, 1029112, 988736]"
557,[ 881443 9526709 9526986],"[819330, 879280, 905436, 846634, 1123106]"
558,"[  948650  1038728   851226   976955  1036431   826842   890610   994928
  1082185  5563934 16809471   879948   888543  1072693  1113588  1128647
  5592931  1127548]","[1134296, 1039796, 870372, 1104349, 1086740]"
560,"[  833025   896085   993466  1014675  1021715  1029504  1029743  1039589
  1082185  9527159 13190445 13190670 13417048  1005186   826249   911703
   920070  1003188  1033142  1055646  1081177   916122  1077490  6534178
  7169089 16733258   832221   891426   939965   978343   982493  1017369
  1034956  1043187  6961492  1053530 15801283   823721   843464   861272
   866211   871756   901062   918335   979707   995852  1001680  1008212
  1034686  1046756  1060673  1063265  1078063  1098910  1105301  5568228
 13876669   836758   840640   859154   869119   891752   899115   903526
   933729   967205  1004906  1062782  1085780  1085983  1094107  1110255
  5979156  6633184 12987835 15483282 15926638 15926887   926646 14112002]","[900770, 978343, 6391176, 6391203, 6464208]"
562,"[  821083   824005   851231   872382   903233   930917   962229   965842
   983680   995896  1006184  1009719  1050482  1082185  1111236  7409790
  7409796  7410111  8090537  8090560  9553347   860439   915874   933599
   967476   979707   981760   995242  1042438  1044805  1074333  1108854
  1123035  1139827 15596705]","[1115069, 7169088, 6544236, 902640, 1029112]"
563,"[  822944   823565   828857   832678   843898   867543   908846   915991
   939578   941307   972041  1016318  1028282  1070820  1105426  1106889
  1117336  1132696  5566235  5995035 13911257   854852   869868   890567
   901666   972193   976475   984688   996114  1034567  1068957  1074362
  6034991  7166839  8013899  8119101  9445919  9483663 13417588   847982
   862349   873527   879528   930209  1131321  1134522  1135476 15506577]","[894360, 873527, 852317, 1009482, 6979427]"
564,[  973854   987480  1005186  1110572 15660114],"[8015407, 846301, 7441668, 1069506, 9573206]"
566,"[  842140   889649   891405   928833   931757   951590  1000908  1008892
  1027447  1029743  1044472  1081355  1087102  5592990 10204333 10204822]","[962199, 1052920, 834103, 1041157, 1018588]"
567,"[  935008  1044078  1054383  1076875 10285116 13877197   819978   883404
  1058930  1070015  1098708  1131321  1133018   986912   840601   859075
  1038217  1065122  1096036 13212996 13504412   847982   885655   886703
   908531   938700   954545  1029171  1043837  1049788  1058779  1080331
  1118787  8090509 10203855]","[10204735, 1089766, 1054383, 915651, 13777104]"
568,"[  819845   829001   833715   838186   844165   865330   866211   878445
   883068   890986   891141   898980   899624   903230   905817   906830
   908145   909894   920740   923746   926927   930666   953476   968146
   972726   985119   992668  1001148  1003421  1007730  1012587  1013928
  1015848  1026448  1035207  1038511  1038663  1042232  1043590  1049897
  1055646  1068001  1071333  1075765  1083787  1091956  1104649  1106523
  1113111  1132968  5572738  5585510  6463742  6552565  6773016  8091550
  9297154  9575582  9835223   822346   840361   849843   888004   890909
   918345   922636   935284   951190   953320   999779   999971  1002591
  1014458  1014802  1018859  1022119  1025650  1035386  1054262  1060316
  1072523  1075337  1077588  1082141  1082454  1110695  1122568  6463710
  9527327  9885206 12731714 12782127 16200738   827683   845208   878996
   894511   896938   918086   918335   925258   949116   968713   977266
   978306   985893   988235  1004475  1028230  1041616  1043971  1058779
  1091499  1099905  1101589  1119879  1120741  1133018  5568378  9487603
 12781777]","[1101589, 905817, 1075765, 865330, 995230]"
569,"[  833724   838524   848319   947441  1118648  9365749  9445760 12487492
 12487812 13039627 13039976 14025268 14025601   905325  1019099  1112242
  6534069  9654969   853287   964353  1001723  1027208  1028816  1071244
  1120963  6039740  6533437  6534873  7410217  8293159 13007251 14025498
   840858   977344   999730  1016302  1041259  1054600  1076874  5568378
  5569471  7166604  7441210  8293267 12171656 15926775]","[6391080, 925425, 8293385, 981677, 1028473]"
570,"[  850058   866211   906262   938596   948650   958046   995242  1007512
  1082185  1130777  5587623  6534881  7410013  9796113  9803678 13133557
   861138   878996   912137   926900  1010424  1027569  1035222  1037863
  1064002 13504412]","[9803592, 8090560, 938596, 926465, 5566800]"
574,"[  819978   828867   835285   845208   874354   883404   893118   896093
   908531   933835   963676   995242  1024032  1036159  1056973  1060705
  1071939  1082185  1101010  1133018  6034857  9527350   829982   849756
  1064550 15741870 15927714   864225   868539   882830   889632   908493
   925164   929433   931671  1002178  1043973  1056762  1070538  1107537
  1113261  1129094  5978656  8090513  8090521 13382402 13987338 15830984
 15926775   896369   898388   839419   845975   883912   908176   914190
   935342   999891  1055283  1059922  1075832  5569374  5585635  5585639
  5590287  7442007  7442182 10149640  1042438]","[12352054, 891505, 914754, 1026334, 1024032]"
